"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","ID","gc","term","Q1","Q44","Q45_1","Q47","Q48","Q49","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q12","Q13","Q11_1","Q11_2","Q11_3","Q11_4","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q27","Q28","Q26_1","Q26_2","Q26_3","Q26_4","Q29","Q30","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","Q46_1","Q50","Q51","DO_BR_FL_11","random","FEMALE","AGE","BS","AD","INCOME","SAFEB","DENYGMB","WARMB","DENYGWB","DENYBB","SCIGM","SCIGW","KNOWGM1","KNOWGM2","KNOWGM3","KNOWGM","KNOWGW1","KNOWGW2","KNOWGW3","KNOWGW","ICGMB","ICGWB","SD","D","LD","I","SR","R","LR","IDK1","OTH","DEM","REP","EL","SL","M","EC","SC","IDK2","CRT1","CRT2","CRT3","CRT","Y","Parti","ConnaisOGM","ConnaisRechClim","PercepOGM","PercepRechClim","Sexe","Revenu","Bachelor"
"141","R_2f0yceVjXUQZnFP","Default Response Set","Anonymous",NA,NA,"208.226.153.28",0,"25APR13:11:57:00","25APR13:12:05:00",1,"5ee882ffd2694dd227ec82d972592856",1,"",1,2,17,1,1,5,3,3,3,3,3,"3",2,2,2,1,1,70.356,70.356,70.357,1,4,3,3,3,3,3,3,3,3,3,3,3,"3",1,2,2,1,1,60.704,60.704,60.706,1,4,3,3,3,3,3,3,"1","1",2,3,1,1,1,9,1,"0.1","100","47","32","4","1","GMO Questions|Global Warming Questions",1,1,17,1,1,5,2,0,2,0,0,3,3,1,1,1,3,0,1,1,2,"9","9",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,"A","Democrate",3,2,3,3,"femme",5,1
"142","R_1RK0BaQm8lTZ9cx","Default Response Set","Anonymous",NA,NA,"68.231.124.189",0,"25APR13:11:58:00","25APR13:12:05:00",1,"7ce43c654d363ef1d08af7130110455c",1,"",1,1,9,2,2,3,4,4,4,3,3,"3",1,2,2,1,1,39.627,39.627,39.627,1,4,4,4,4,4,2,2,4,4,4,2,4,"2",1,1,1,1,1,45.494,45.494,45.495,1,5,4,5,5,2,2,2,"1","1",4,3,1,2,2,7,1,"0.1","100 minutes","24 days","3","9","1","Global Warming Questions|GMO Questions",0,0,9,0,0,3,3,0,3,0,0,4,4,0,1,1,2,0,0,0,0,"9","8",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","autre",2,0,4,4,"homme",3,2
"143","R_25c0L6EP8i8WvaZ","Default Response Set","Anonymous",NA,NA,"67.160.43.196",0,"25APR13:11:58:00","25APR13:12:05:00",1,"61bdf862c305be8d17ef7a5808b870d8",1,"",1,1,22,1,2,6,2,2,3,3,3,"4",2,2,2,1,1,36.398,36.398,36.408,1,4,3,2,2,3,3,4,4,4,3,2,2,"2",2,2,2,1,1,35.919,35.919,35.93,1,3,3,4,4,2,2,2,"1","1",4,4,1,1,2,7,2,"0.1","100","12","43","9","3","Global Warming Questions|GMO Questions",0,0,22,1,0,6,1,1,3,0,1,3,3,1,1,1,3,1,1,1,3,"10","6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"B","autre",3,3,3,3,"homme",6,1
"144","R_4TxGhBhxzbO8k8l","Default Response Set","Anonymous",NA,NA,"74.75.129.63",0,"25APR13:11:57:00","25APR13:12:06:00",1,"b69fef30d2c80c7223276ed0cb5ec4f3",1,"",1,1,3,2,2,5,3,2,3,3,3,"3",1,2,1,1,1,40.713,40.713,40.717,1,3,3,3,2,3,3,3,2,2,4,2,4,"3",1,2,1,1,1,64.074,64.074,64.079,1,3,3,2,2,2,4,3,"2","2",7,5,1,1,2,7,2,"0.1","100","24","19","2","1","GMO Questions|Global Warming Questions",1,0,3,0,0,5,2,0,1,1,2,3,4,0,1,0,1,0,1,0,1,"9","9",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"C","Republicain",1,1,3,4,"homme",5,2
"145","R_7W0MpAcNm4DOd25","Default Response Set","Anonymous",NA,NA,"24.14.231.81",0,"25APR13:12:00:00","25APR13:12:06:00",1,"8beb173120ffa13290ae85cfd55e1048",1,"",1,2,33,1,1,8,4,4,4,3,2,"1",2,2,2,1,1,31.379,31.379,31.382,1,5,5,5,5,1,1,1,4,4,4,1,2,"1",1,2,2,1,1,34.966,34.966,34.969,1,5,5,5,5,1,1,1,"1","1",4,3,1,1,5,8,1,"0.1","100","24","13","1","1","Global Warming Questions|GMO Questions",0,1,33,1,1,8,3,0,3,0,0,4,4,1,1,1,3,0,1,1,2,"6","4",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","autre",3,2,4,4,"femme",8,1
"146","R_7VZ3FvArSJIWBOl","Default Response Set","Anonymous",NA,NA,"174.131.20.89",0,"25APR13:11:57:00","25APR13:12:06:00",1,"4f6d0f24fbffbb80a62865dce89d44a4",1,"",1,1,5,2,2,2,2,1,2,4,5,"4",1,1,1,1,1,34.387,34.387,34.394,1,2,2,1,1,5,5,4,3,4,5,2,3,"1",1,2,2,1,1,36.366,36.366,36.374,1,4,3,4,5,2,3,1,"2","1",4,3,1,2,2,9,6,"ten cent","100","24","10","1","1","Global Warming Questions|GMO Questions",0,0,5,0,0,2,1,1,2,0,1,2,5,0,0,0,0,0,1,1,2,"13","6",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"B","autre",0,2,2,5,"homme",2,2
"147","R_a05jyFpUoIGmdil","Default Response Set","Anonymous",NA,NA,"67.167.160.177",0,"25APR13:11:58:00","25APR13:12:06:00",1,"cf1572fa550adff4231c8e710a62ec81",1,"",1,2,18,2,2,1,3,3,3,3,3,"3",1,1,2,1,1,7.56,31.603,31.617,6,3,3,3,3,3,3,3,3,3,3,3,3,"3",1,1,1,1,1,31.201,31.201,31.221,1,3,3,3,3,3,3,3,"1","2",4,6,1,5,5,9,6,"2.1","10","100","42","10","1","Global Warming Questions|GMO Questions",0,1,18,0,0,1,2,0,2,0,0,3,3,0,0,1,1,0,0,0,0,"9","9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"A","autre",1,0,3,3,"femme",1,2
"148","R_0ikGW6oHA3QJS17","Default Response Set","Anonymous",NA,NA,"172.14.230.56",0,"25APR13:12:00:00","25APR13:12:06:00",1,"c87ce0961e64118731b88661ffbc6ef7",1,"",1,1,23,2,2,2,3,3,3,2,2,"1",2,2,1,1,1,31.385,31.385,31.388,1,5,5,5,5,1,1,1,5,5,4,1,2,"2",1,1,1,1,1,31.745,31.745,31.748,1,5,5,5,5,1,1,2,"1","1",1,1,1,1,2,7,1,"0.1","100","24","13","1","2","Global Warming Questions|GMO Questions",0,0,23,0,0,2,2,0,4,0,0,3,4,1,1,0,2,0,0,0,0,"5","5",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"A","Democrate",2,0,3,4,"homme",2,2
"149","R_3lsC3VIiRvoCQn3","Default Response Set","Anonymous",NA,NA,"99.144.118.130",0,"25APR13:11:59:00","25APR13:12:06:00",1,"5e98e2fb40ec21c2439a5762c25df395",1,"",1,1,11,1,1,4,3,3,4,4,4,"3",2,2,1,1,1,34.574,34.574,34.583,1,4,4,3,3,4,4,3,4,5,4,3,3,"3",1,1,2,1,1,49.656,49.656,49.665,1,4,3,4,4,4,3,4,"1","1",4,3,1,4,4,9,1,"0.1","100","24","25","8","1","GMO Questions|Global Warming Questions",1,0,11,1,1,4,2,0,3,0,0,4,4,1,1,0,2,0,0,1,1,"11","9",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","autre",2,1,4,4,"homme",4,1
"150","R_eSfJeoZCnQrwKa1","Default Response Set","Anonymous",NA,NA,"",0,"25APR13:11:59:00","25APR13:12:06:00",1,"76ea92f951815476fa28900e54f67dd2",1,"",1,1,5,1,1,3,5,5,5,5,5,"5",1,1,1,1,1,63.937,63.937,63.945,1,5,5,5,5,5,5,5,5,5,5,5,5,"5",1,1,1,1,1,9.431,32.317,32.322,13,5,5,5,5,5,5,5,"1","1",1,1,4,2,2,5,2,"1.1","15","48","43","2","5","GMO Questions|Global Warming Questions",1,0,5,1,1,3,4,0,4,0,0,5,5,0,0,0,0,0,0,0,0,"15","15",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"A","Democrate",0,0,5,5,"homme",3,1
"151","R_23RJa1mjlpJlDff","Default Response Set","Anonymous",NA,NA,"98.110.246.114",0,"25APR13:11:57:00","25APR13:12:06:00",1,"6196c3608c6a3a98838286b396b0ed21",1,"",1,2,34,1,1,2,3,3,3,3,3,"2",2,2,2,1,1,40.416,40.416,40.431,1,4,3,3,3,3,2,2,4,4,4,3,3,"2",1,2,1,1,1,34.814,36.479,36.484,2,5,5,4,4,2,3,2,"1","1",5,4,1,1,2,7,1,"0.05","5 minutes","47","21","1","1","Global Warming Questions|GMO Questions",0,1,34,1,1,2,2,0,3,0,0,3,4,1,1,1,3,0,1,0,1,"8","8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,"A","Republicain",3,1,3,4,"femme",2,1
"152","R_3NOwfGisHu9xrO5","Default Response Set","Anonymous",NA,NA,"198.232.105.18",0,"25APR13:11:57:00","25APR13:12:06:00",1,"4dfc5c167bddb52d483c5d9e3050df08",1,"",1,1,14,2,2,2,3,3,3,3,3,"3",1,2,1,1,1,32.377,32.377,32.385,1,4,4,4,4,4,3,3,3,5,3,3,3,"1",1,1,2,1,1,33.006,33.006,33.013,1,4,3,3,3,3,3,3,"1","2",8,6,10,4,5,9,6,"0.1","20","24","40","10","1","GMO Questions|Global Warming Questions",1,0,14,0,0,2,2,0,2,0,0,3,3,0,1,0,1,0,0,1,1,"9","7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"A","autre",1,1,3,3,"homme",2,2
"153","R_eXnaNqFADxNGFtb","Default Response Set","Anonymous",NA,NA,"198.57.84.127",0,"25APR13:11:57:00","25APR13:12:06:00",1,"7c5d39577c90eec3a5be7f4adf5dc6fe",1,"",1,2,18,1,2,8,1,1,3,4,4,"3",2,1,2,1,1,23.915,32.147,32.151,2,2,3,1,1,5,5,3,4,4,3,2,2,"3",1,1,2,1,1,31.897,31.897,31.901,1,4,3,4,4,2,2,3,"2","2",4,3,1,5,2,9,6,"0.1","100","24","42","9","1","Global Warming Questions|GMO Questions",0,1,18,1,0,8,0,1,3,0,1,3,3,1,0,1,2,0,0,1,1,"11","7",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"B","autre",2,1,3,3,"femme",8,1
"154","R_4Z4gBKwZQHgpgXP","Default Response Set","Anonymous",NA,NA,"63.241.40.128",0,"25APR13:11:58:00","25APR13:12:06:00",1,"cf4814931c3b7995aace7b1c43144986",1,"",1,1,16,1,1,7,4,4,4,4,4,"4",2,2,1,1,1,42.26,42.26,42.261,1,5,4,4,4,3,3,4,5,4,4,4,4,"4",1,1,1,1,1,62.404,62.404,62.406,1,4,4,5,4,4,3,4,"1","1",6,2,1,1,2,3,1,"1","100","24","5","10","1","GMO Questions|Global Warming Questions",1,0,16,1,1,7,3,0,4,0,0,4,4,1,1,0,2,0,0,0,0,"12","12",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"A","Republicain",2,0,4,4,"homme",7,1
"155","R_8qBAb2tYJVPtmOV","Default Response Set","Anonymous",NA,NA,"96.32.85.90",0,"25APR13:11:59:00","25APR13:12:06:00",1,"5133740aaec6601ad6f3208e8cdf04d8",1,"",1,1,16,1,2,4,2,2,3,5,4,"2",2,2,2,1,1,33.609,33.609,33.609,1,4,4,4,4,2,2,2,4,4,4,2,3,"2",1,2,2,1,1,31.671,31.671,31.671,1,5,5,5,5,1,1,1,"1","2",4,3,1,2,1,1,1,"0.1","100","24","10","2","3","GMO Questions|Global Warming Questions",1,0,16,1,0,4,1,1,3,0,1,3,4,1,1,1,3,0,1,1,2,"11","7",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"B","autre",3,2,3,4,"homme",4,1
"156","R_7ODJriModuRn3ZH","Default Response Set","Anonymous",NA,NA,"98.155.249.185",0,"25APR13:11:59:00","25APR13:12:06:00",1,"ec77f9408eec99ef0d7dd2ed65decc91",1,"",1,1,14,2,2,8,3,3,3,5,5,"5",1,2,1,1,1,38.321,38.321,38.328,1,2,2,3,2,5,4,5,5,5,5,1,1,"1",2,1,2,1,1,31.934,31.934,31.941,1,5,5,5,5,1,1,1,"1","2",3,3,1,1,2,7,1,"0.05","5 minutes","47 days","11","1","5","GMO Questions|Global Warming Questions",1,0,14,0,0,8,2,0,4,0,0,3,5,0,1,0,1,1,0,1,2,"15","3",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"A","Democrate",1,2,3,5,"homme",8,2
"157","R_cIaLc4IA3Lzixtb","Default Response Set","Anonymous",NA,NA,"98.93.218.79",0,"25APR13:12:01:00","25APR13:12:06:00",1,"a5d02f959e5867215c755a74b5a62fb3",1,"",1,1,12,2,2,2,3,3,3,3,3,"3",2,2,2,1,1,39.621,39.621,39.622,1,3,3,3,3,3,3,3,4,3,4,4,4,"5",1,1,1,1,1,30.808,30.808,30.809,1,3,3,3,4,3,3,3,"2","2",4,6,10,5,5,9,6,"210","200","50","17","10","1","Global Warming Questions|GMO Questions",0,0,12,0,0,2,2,0,3,0,0,3,4,1,1,1,3,0,0,0,0,"9","13",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"A","autre",3,0,3,4,"homme",2,2
"158","R_0VbUNYQEhF2O1i5","Default Response Set","Anonymous",NA,NA,"67.255.195.7",0,"25APR13:12:00:00","25APR13:12:06:00",1,"b273a54879b3b544a9a6ced7731aaf06",1,"",1,1,11,1,2,4,4,4,3,2,2,"3",2,2,2,1,1,36.885,36.885,36.89,1,5,4,4,4,2,2,1,3,3,3,2,3,"1",1,2,2,1,1,40.899,40.899,40.913,1,4,4,4,4,2,3,2,"1","1",4,3,1,2,1,7,1,"0.05","100","47","29","2","1","GMO Questions|Global Warming Questions",1,0,11,1,0,4,3,0,2,0,0,3,3,1,1,1,3,0,1,1,2,"7","6",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,"A","autre",3,2,3,3,"homme",4,1
"159","R_ex0gSCtC8xkzTOl","Default Response Set","Anonymous",NA,NA,"4.30.210.6",0,"25APR13:11:59:00","25APR13:12:06:00",1,"976e76a5f81e83e316a4ae1369bfa07b",1,"",1,1,12,1,2,2,2,2,5,5,3,"4",2,2,2,1,1,45.527,45.527,45.531,1,5,3,2,2,2,2,2,2,4,3,3,4,"3",2,2,1,1,1,41.191,41.191,41.195,1,5,3,2,4,3,4,3,"2","2",4,3,1,1,2,7,1,"0.1","100 minutes","47","47","1","7","Global Warming Questions|GMO Questions",0,0,12,1,0,2,1,1,1,1,3,5,3,1,1,1,3,1,1,0,2,"12","10",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"D","autre",3,2,5,3,"homme",2,1
"160","R_0wfPFsbSrDHMqnb","Default Response Set","Anonymous",NA,NA,"65.25.218.220",0,"25APR13:11:59:00","25APR13:12:06:00",1,"bd97ca63819aa6c3aca346d948355f79",1,"",1,1,12,2,2,1,3,3,3,3,3,"3",2,2,2,1,1,37.128,37.128,37.134,1,4,4,4,4,2,2,3,4,4,4,1,1,"1",1,2,1,1,1,31.306,31.306,31.311,1,5,3,5,5,1,1,1,"1","1",3,3,1,1,2,7,1,"0.1","100 minutes","24 days","49","2","1","Global Warming Questions|GMO Questions",0,0,12,0,0,1,2,0,3,0,0,3,4,1,1,1,3,0,1,0,1,"9","3",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A","Democrate",3,1,3,4,"homme",1,2
"161","R_d1r4hbQJRrNNurH","Default Response Set","Anonymous",NA,NA,"24.11.183.133",0,"25APR13:11:59:00","25APR13:12:06:00",1,"335fce22dd47a3e86e49a8ea84a9a736",1,"",1,2,14,1,1,2,4,4,4,3,3,"2",2,2,2,1,1,32.264,32.264,32.273,1,4,4,4,4,4,2,1,4,4,4,2,3,"2",1,1,2,1,1,32.352,32.352,32.361,1,4,4,4,4,2,2,1,"1","1",6,4,1,2,1,9,1,"0.1","100","24","22","1","1","Global Warming Questions|GMO Questions",0,1,14,1,1,2,3,0,3,0,0,4,4,1,1,1,3,0,0,1,1,"8","7",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"A","Republicain",3,1,4,4,"femme",2,1
"162","R_0czag0mYww4DY8J","Default Response Set","Anonymous",NA,NA,"24.183.109.23",0,"25APR13:12:01:00","25APR13:12:07:00",1,"7001a5374e27d9b815ee6dd7677eafc2",1,"",1,1,8,1,2,4,3,3,2,2,2,"2",2,2,2,1,1,31.71,31.71,31.724,1,4,4,4,4,1,1,2,2,2,4,3,4,"2",1,2,2,1,1,39.769,39.769,39.784,1,2,4,3,2,2,4,2,"1","1",6,4,1,1,1,6,1,"0.09","5","47","49","1","1","Global Warming Questions|GMO Questions",0,0,8,1,0,4,2,0,1,1,2,2,4,1,1,1,3,0,1,1,2,"6","9",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,"C","Republicain",3,2,2,4,"homme",4,1
"163","R_a5DdsDkRgcLroUd","Default Response Set","Anonymous",NA,NA,"76.104.29.167",0,"25APR13:11:59:00","25APR13:12:07:00",1,"08c3a20f8682804d527731c5696abc34",1,"",1,2,9,1,1,2,1,1,5,5,1,"5",2,2,2,1,1,44.3,44.3,44.301,1,3,2,1,1,5,1,5,5,3,5,2,3,"1",1,2,2,1,1,31.543,31.543,31.544,1,5,3,5,5,1,3,1,"1","2",3,3,1,2,1,7,1,"0.05","5 minutes","47","46","1","1","GMO Questions|Global Warming Questions",1,1,9,1,1,2,0,1,4,0,1,5,5,1,1,1,3,0,1,1,2,"11","6",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,"B","Democrate",3,2,5,5,"femme",2,1
"164","R_0p8bG5utFPhxb6d","Default Response Set","Anonymous",NA,NA,"173.46.211.240",0,"25APR13:11:57:00","25APR13:12:07:00",1,"feeafd7230bf51c27bbe004b16d03eec",1,"",1,1,17,1,1,6,3,4,4,3,2,"2",2,1,1,1,1,40.378,40.378,40.391,1,3,3,2,3,3,3,3,3,3,2,3,4,"2",1,2,2,1,1,75.278,75.278,75.291,1,3,2,2,3,4,4,3,"1","1",6,4,1,1,1,7,1,"0.1","100","12","38","1","1","Global Warming Questions|GMO Questions",0,0,17,1,1,6,2,0,2,0,0,4,2,1,0,0,1,0,1,1,2,"7","9",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"A","Republicain",1,2,4,2,"homme",6,1
"165","R_eeQnpKshg0bek4d","Default Response Set","Anonymous",NA,NA,"99.173.130.186",0,"25APR13:12:02:00","25APR13:12:07:00",1,"59f2588d7a83d33ccf7d49ee060c3c89",1,"",1,2,11,1,1,5,4,1,4,3,2,"4",2,1,1,1,1,38.793,42.178,42.183,2,3,4,3,3,4,4,4,4,2,3,2,2,"5",2,1,2,1,1,71.685,71.685,71.69,1,2,4,3,3,3,3,3,"1","1",9,4,1,1,2,7,1,"nothing","ask someone","depends","36","9","6","Global Warming Questions|GMO Questions",0,1,11,1,1,5,3,0,3,0,0,4,3,1,0,0,1,1,0,1,2,"9","9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"A","autre",1,2,4,3,"femme",5,1
"166","R_3wK3XrxDzhTIw9T","Default Response Set","Anonymous",NA,NA,"68.226.30.18",0,"25APR13:12:00:00","25APR13:12:07:00",1,"1a4d0d84c5e459e670e209abefbca367",1,"",1,1,24,1,2,3,1,1,3,4,2,"5",2,2,2,1,1,34.93,34.93,34.947,1,4,3,2,2,3,1,3,1,1,3,3,5,"5",1,2,2,1,1,33.393,33.393,33.398,1,4,3,1,1,3,5,5,"2","2",7,5,1,1,2,9,3,"0.1","100","24","3","1","1","GMO Questions|Global Warming Questions",1,0,24,1,0,3,0,1,0,1,3,3,3,1,1,1,3,0,1,1,2,"11","13",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"D","Republicain",3,2,3,3,"homme",3,1
"167","R_6Kn2wyspYl3LgtT","Default Response Set","Anonymous",NA,NA,"184.33.104.171",0,"25APR13:11:57:00","25APR13:12:07:00",1,"44beaf22dbe595194d1e39616cd14a0e",1,"",1,1,24,1,1,4,3,3,3,3,3,"3",1,1,1,1,1,80.717,80.717,80.718,1,3,3,3,3,3,3,3,3,3,3,3,3,"3",1,1,1,1,1,41.808,41.808,41.809,1,3,3,3,3,3,3,3,"1","1",8,6,1,5,5,9,6,"10 cents","100","56","9","10","1","GMO Questions|Global Warming Questions",1,0,24,1,1,4,2,0,2,0,0,3,3,0,0,0,0,0,0,0,0,"9","9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"A","autre",0,0,3,3,"homme",4,1
"168","R_5aOMCVgVflfM4kt","Default Response Set","Anonymous",NA,NA,"170.170.59.139",0,"25APR13:11:58:00","25APR13:12:07:00",1,"85530e1db807d58c03482f75835cb036",1,"",1,1,15,1,2,8,4,4,3,2,2,"2",1,2,1,1,1,38.885,41.11,41.111,2,4,4,4,4,1,1,1,5,5,5,2,2,"2",1,2,2,1,1,35.638,35.638,35.639,1,5,4,5,5,2,2,1,"1","1",6,4,1,1,2,7,1,"0.1","100 minutes","24","43","2","1","Global Warming Questions|GMO Questions",0,0,15,1,0,8,3,0,4,0,0,3,5,0,1,0,1,0,1,1,2,"6","6",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"A","Republicain",1,2,3,5,"homme",8,1
"169","R_0OpgquTwWajgNql","Default Response Set","Anonymous",NA,NA,"174.62.109.223",0,"25APR13:11:58:00","25APR13:12:07:00",1,"62e152df8bad1df9e08a985e2bb587e9",1,"",1,2,10,1,1,6,2,2,4,4,3,"2",2,2,2,1,1,33.614,33.614,33.616,1,2,2,2,3,3,2,2,4,4,4,3,3,"2",1,1,2,1,1,31.383,31.383,31.386,1,4,4,4,4,3,3,4,"1","1",2,2,9,1,1,5,1,"0.5","5","24 days","5","7","5","GMO Questions|Global Warming Questions",1,1,10,1,1,6,1,1,3,0,1,4,4,1,1,1,3,0,0,1,1,"9","8",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,"B","Democrate",3,1,4,4,"femme",6,1
"170","R_3Wa7JcPrCXFahwN","Default Response Set","Anonymous",NA,NA,"76.235.176.72",0,"25APR13:11:59:00","25APR13:12:07:00",1,"50b594e8843e9f685b6ed0749d313919",1,"",1,1,10,2,2,2,3,3,3,3,3,"3",1,2,2,1,1,50.896,50.896,50.896,1,3,3,3,3,3,3,3,3,3,3,3,4,"2",1,1,1,1,1,36.103,36.103,36.118,1,3,3,3,3,3,3,3,"2","2",4,3,1,5,5,8,1,"0.1","20 minutes","47","22","1","1","GMO Questions|Global Warming Questions",1,0,10,0,0,2,2,0,2,0,0,3,3,0,1,1,2,0,0,0,0,"9","9",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"A","autre",2,0,3,3,"homme",2,2
"171","R_3VOgpusq9io5zG5","Default Response Set","Anonymous",NA,NA,"174.19.24.128",0,"25APR13:12:00:00","25APR13:12:07:00",1,"f15eed8fa103d69d12ce0efc078c055b",1,"",1,1,8,2,2,2,2,3,1,4,4,"1",1,1,1,1,1,48.696,48.696,48.698,1,2,2,1,2,4,3,4,1,2,2,1,3,"3",1,2,1,1,1,50.081,50.081,50.084,1,1,3,1,2,1,3,4,"1","1",6,4,1,1,1,3,2,"0.1","5","24 days","26","10","1","Global Warming Questions|GMO Questions",0,0,8,0,0,2,1,1,0,1,3,1,2,0,0,0,0,0,1,0,1,"9","7",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,"D","Republicain",0,1,1,2,"homme",2,2
"172","R_dckuUQcCCOj7Ddr","Default Response Set","Anonymous",NA,NA,"71.228.173.115",0,"25APR13:11:59:00","25APR13:12:08:00",1,"162bba1a011dacc84b291d6d0efa725c",2,"a",1,1,5,1,1,4,5,4,5,5,4,"4",1,1,1,1,1,32.649,32.649,32.675,1,5,5,5,5,4,5,5,5,5,5,5,5,"5",1,1,2,1,1,29.959,33.756,33.881,2,5,4,5,5,5,4,5,"1","1",1,1,8,2,2,4,1,"7","89","7",".",".",".","GMO Questions|Global Warming Questions",1,0,5,1,1,4,4,0,4,0,0,5,5,0,0,0,0,0,0,1,1,"13","15",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"A","Democrate",0,1,5,5,"homme",4,1
"173","R_0PPIdeyXE2SAuxv","Default Response Set","Anonymous",NA,NA,"24.34.98.144",0,"25APR13:11:57:00","25APR13:12:08:00",1,"290c5650bfcb49b4af71bc75edd32068",1,"",1,2,48,2,2,1,2,2,3,3,3,"3",1,1,1,1,1,33.041,33.041,33.129,1,3,3,3,3,3,3,3,3,4,3,3,3,"3",1,1,1,1,1,34.907,34.907,34.996,1,3,3,3,3,3,3,3,"2","2",8,6,1,5,5,9,6,"10","500","24","21","1","1","Global Warming Questions|GMO Questions",0,1,48,0,0,1,1,1,2,0,1,3,3,0,0,0,0,0,0,0,0,"9","9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"B","autre",0,0,3,3,"femme",1,2
"174","R_a9GS98ImudZ0ogB","Default Response Set","Anonymous",NA,NA,"98.229.117.5",0,"25APR13:12:02:00","25APR13:12:08:00",1,"26d537e24fc3afb33f870b52559545e4",1,"",1,1,6,2,2,6,4,4,4,4,3,"1",2,2,2,1,1,34.577,34.577,34.58,1,5,4,5,4,1,1,1,4,4,3,3,3,"1",1,2,2,1,1,34.88,34.88,34.883,1,5,4,5,5,1,1,1,"1","1",3,2,1,2,1,6,3,"0.05","100 minutes","24","21","1","1","GMO Questions|Global Warming Questions",1,0,6,0,0,6,3,0,3,0,0,4,3,1,1,1,3,0,1,1,2,"8","7",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"A","Democrate",3,2,4,3,"homme",6,2
"175","R_bwtbnTeeheWJdd3","Default Response Set","Anonymous",NA,NA,"70.167.157.226",0,"25APR13:11:56:00","25APR13:12:08:00",1,"b9a453f5cbe909f176bf76c3987859d3",1,"",1,1,48,1,1,6,3,3,3,2,2,"3",2,2,1,1,1,33.266,33.266,33.266,1,4,4,4,4,3,3,3,4,4,4,2,3,"2",1,1,1,1,1,40.798,40.798,40.798,1,4,4,4,4,2,3,2,"1","1",5,4,1,5,5,7,1,"10 cents","100 minutes","47 days","5","2","1","Global Warming Questions|GMO Questions",0,0,48,1,1,6,2,0,3,0,0,3,4,1,1,0,2,0,0,0,0,"7","7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A","Republicain",2,0,3,4,"homme",6,1
